Taille;Morphologie;Methode;Nb_visites;Temps
100;ABR_PresqueComplet;Naif;388.00;0.000001711
100;ABR_PresqueComplet;Definition;201.00;0.000001105
100;ABR_PresqueComplet;Infixe;201.00;0.000000720
100;NonABR_PresqueComplet;Naif;14.00;0.000000056
100;NonABR_PresqueComplet;Definition;3.12;0.000000034
100;NonABR_PresqueComplet;Infixe;11.00;0.000000040
100;ABR_Filiforme;Naif;396.78;0.000001736
100;ABR_Filiforme;Definition;201.00;0.000001471
100;ABR_Filiforme;Infixe;201.00;0.000001375
100;NonABR_Filiforme;Naif;153.78;0.000001174
100;NonABR_Filiforme;Definition;5.18;0.000000047
100;NonABR_Filiforme;Infixe;9.30;0.000000071
100;ABR_Quelconque;Naif;390.42;0.000001961
100;ABR_Quelconque;Definition;201.00;0.000000989
100;ABR_Quelconque;Infixe;201.00;0.000000987
100;NonABR_Quelconque;Naif;16.56;0.000000102
100;NonABR_Quelconque;Definition;3.26;0.000000038
100;NonABR_Quelconque;Infixe;10.08;0.000000068
1100;ABR_PresqueComplet;Naif;4380.00;0.000008187
1100;ABR_PresqueComplet;Definition;2201.00;0.000005632
1100;ABR_PresqueComplet;Infixe;2201.00;0.000005308
1100;NonABR_PresqueComplet;Naif;18.00;0.000000113
1100;NonABR_PresqueComplet;Definition;2.98;0.000000054
1100;NonABR_PresqueComplet;Infixe;15.00;0.000000109
1100;ABR_Filiforme;Naif;4397.08;0.000023821
1100;ABR_Filiforme;Definition;2201.00;0.000019886
1100;ABR_Filiforme;Infixe;2201.00;0.000019142
1100;NonABR_Filiforme;Naif;1658.98;0.000016583
1100;NonABR_Filiforme;Definition;5.28;0.000000098
1100;NonABR_Filiforme;Infixe;8.86;0.000000122
1100;ABR_Quelconque;Naif;4385.94;0.000021697
1100;ABR_Quelconque;Definition;2201.00;0.000011388
1100;ABR_Quelconque;Infixe;2201.00;0.000011743
1100;NonABR_Quelconque;Naif;19.38;0.000000187
1100;NonABR_Quelconque;Definition;2.68;0.000000048
